CustomerKey,MaritalStatus,Unnamed: 3,Gender,Unnamed: 5,YearlyIncome,TotalChildren,NumberChildrenAtHome,HouseOwnerFlag,NumberCarsOwned,CommuteDistance,Region,Age,BikeBuyer
11000,M,,M,,89998.22505,2,0,1,0,1-2 Miles,Pacific,44,1
11001,S,,M,,59998.22505,3,3,0,1,0-1 Miles,Pacific,45,1
11002,M,,M,,59998.22505,3,3,1,1,2-5 Miles,Pacific,45,1
11003,S,,F,,69998.22505,0,0,0,1,5-10 Miles,Pacific,42,1
11004,S,,F,,79998.22505,5,5,1,4,1-2 Miles,Pacific,42,1
11005,S,,M,,69998.22505,0,0,1,1,5-10 Miles,Pacific,45,1
11006,S,,F,,69998.22505,0,0,1,1,5-10 Miles,Pacific,44,1
11007,M,,M,,59998.22505,3,3,1,2,0-1 Miles,Pacific,46,1
11008,S,,F,,59998.22505,4,4,1,3,10+ Miles,Pacific,46,1
11009,S,,M,,69998.22505,0,0,0,1,5-10 Miles,Pacific,46,1
11010,S,,F,,69998.22505,0,0,0,1,5-10 Miles,Pacific,46,1
11011,M,,M,,59998.22505,4,4,1,4,10+ Miles,Pacific,46,1
11012,M,,F,,99998.22505,2,0,1,2,1-2 Miles,North America,42,0
11013,M,,M,,99998.22505,2,0,1,3,0-1 Miles,North America,42,0
11014,S,,F,,99998.22505,3,0,0,3,1-2 Miles,North America,42,0
11015,S,,F,,29998.22505,0,0,0,1,5-10 Miles,North America,31,1
11016,M,,M,,29998.22505,0,0,1,1,5-10 Miles,North America,31,1
11017,S,,F,,19998.22505,4,0,1,2,5-10 Miles,Pacific,66,1
11018,S,,M,,29998.22505,2,0,1,2,5-10 Miles,Pacific,65,1
11019,S,,M,,39998.22505,0,0,0,2,5-10 Miles,North America,32,0
11020,S,,M,,39998.22505,0,0,0,2,1-2 Miles,North America,31,1
11021,S,,F,,39998.22505,0,0,0,1,1-2 Miles,North America,32,1
11022,M,,M,,39998.22505,0,0,1,1,5-10 Miles,North America,31,1
11023,M,,M,,39998.22505,0,0,1,1,1-2 Miles,North America,31,0
11024,M,,M,,59998.22505,0,0,1,2,5-10 Miles,North America,31,0
11025,M,,M,,9998.225049,2,1,1,2,1-2 Miles,Pacific,64,1
11026,S,,M,,29998.22505,2,0,0,2,1-2 Miles,Pacific,64,1
11027,M,,M,,29998.22505,2,0,1,2,5-10 Miles,Pacific,63,1
11028,M,,F,,29998.22505,2,0,1,2,1-2 Miles,Pacific,64,1
11029,M,,M,,29998.22505,2,0,1,2,1-2 Miles,Pacific,63,1
11030,M,,F,,9998.225049,2,1,1,2,1-2 Miles,Pacific,63,1
11031,M,,F,,19998.22505,4,0,1,2,1-2 Miles,Pacific,63,1
11032,M,,F,,19998.22505,4,0,1,2,1-2 Miles,Pacific,63,1
11033,M,,M,,19998.22505,4,0,1,2,5-10 Miles,Pacific,62,1
11034,M,,F,,19998.22505,4,0,1,2,5-10 Miles,Pacific,63,1
11035,M,,F,,9998.225049,2,1,1,2,1-2 Miles,Pacific,62,1
11036,M,,F,,59998.22505,0,0,1,2,1-2 Miles,North America,31,1
11037,S,,F,,39998.22505,0,0,0,2,5-10 Miles,North America,32,1
11038,M,,F,,9998.225049,2,1,1,2,5-10 Miles,Pacific,62,1
11039,M,,M,,29998.22505,3,0,1,2,5-10 Miles,Pacific,61,1
11040,M,,M,,29998.22505,0,0,1,2,1-2 Miles,North America,33,1
11041,M,,F,,59998.22505,0,0,1,2,1-2 Miles,North America,32,1
11042,M,,F,,69998.22505,0,0,1,2,0-1 Miles,North America,33,1
11043,M,,M,,59998.22505,0,0,1,2,5-10 Miles,North America,34,0
11044,M,,M,,19998.22505,2,1,1,2,1-2 Miles,Pacific,61,1
11045,S,,M,,29998.22505,3,0,0,2,1-2 Miles,Pacific,60,0
11046,M,,F,,29998.22505,3,0,1,2,5-10 Miles,Pacific,60,1
11047,M,,F,,29998.22505,3,0,0,2,1-2 Miles,Pacific,60,1
11048,M,,M,,29998.22505,3,0,1,2,5-10 Miles,Pacific,59,1
11049,S,,F,,39998.22505,0,0,1,2,5-10 Miles,North America,30,0
11050,M,,M,,29998.22505,3,0,1,2,5-10 Miles,Pacific,59,1
11051,S,,M,,29998.22505,3,0,0,2,1-2 Miles,Pacific,59,0
11052,S,,F,,39998.22505,2,0,0,2,5-10 Miles,Pacific,59,1
11053,M,,F,,59998.22505,0,0,0,2,1-2 Miles,North America,30,1
11054,M,,F,,39998.22505,2,0,1,2,5-10 Miles,Pacific,58,1
11055,M,,M,,39998.22505,2,0,1,2,5-10 Miles,Pacific,58,1
11056,M,,F,,39998.22505,3,0,1,2,5-10 Miles,Pacific,57,1
11057,M,,M,,69998.22505,2,0,1,2,1-2 Miles,Pacific,56,1
11058,M,,M,,79998.22505,2,0,1,2,1-2 Miles,Pacific,56,1
11059,S,,F,,79998.22505,2,0,1,2,5-10 Miles,Pacific,56,0
11060,M,,M,,79998.22505,2,0,1,2,5-10 Miles,Pacific,56,1
11061,M,,M,,79998.22505,2,0,1,2,5-10 Miles,Pacific,56,1
11062,M,,M,,39998.22505,0,0,1,2,5-10 Miles,North America,35,1
11063,S,,F,,39998.22505,0,0,1,2,5-10 Miles,North America,35,1
11064,M,,M,,39998.22505,0,0,1,2,5-10 Miles,North America,34,1
11065,M,,F,,59998.22505,0,0,0,2,1-2 Miles,North America,36,0
11066,M,,F,,69998.22505,0,0,1,2,5-10 Miles,North America,36,0
11067,S,,M,,59998.22505,0,0,1,2,5-10 Miles,North America,33,0
11068,S,,F,,79998.22505,2,0,1,2,5-10 Miles,Pacific,54,0
11069,S,,F,,79998.22505,2,0,0,2,1-2 Miles,Pacific,54,1
11070,M,,M,,79998.22505,2,0,1,2,5-10 Miles,Pacific,55,1
11071,S,,F,,79998.22505,2,0,1,2,5-10 Miles,Pacific,55,0
11072,S,,F,,79998.22505,2,0,0,2,1-2 Miles,Pacific,55,1
11073,S,,F,,69998.22505,2,0,1,2,5-10 Miles,Pacific,54,0
11074,S,,M,,69998.22505,2,0,1,2,5-10 Miles,Pacific,54,0
11075,S,,F,,79998.22505,2,0,1,2,5-10 Miles,Pacific,52,1
11076,S,,M,,79998.22505,2,0,1,2,5-10 Miles,Pacific,53,1
11077,S,,F,,79998.22505,2,0,0,2,1-2 Miles,Pacific,52,1
11078,S,,F,,39998.22505,0,0,0,2,1-2 Miles,North America,36,0
11079,S,,M,,159998.225,0,0,1,2,0-1 Miles,Pacific,51,0
11080,M,,M,,169998.225,0,0,1,2,0-1 Miles,Pacific,51,1
11081,M,,F,,119998.225,2,2,1,3,2-5 Miles,North America,44,0
11082,S,,F,,129998.225,0,1,0,3,1-2 Miles,North America,44,1
11083,M,,F,,129998.225,0,1,1,3,1-2 Miles,North America,44,1
11084,S,,M,,79998.22505,2,0,0,2,1-2 Miles,North America,53,1
11085,S,,F,,59998.22505,2,0,0,2,5-10 Miles,North America,53,0
11086,M,,M,,69998.22505,2,1,1,0,0-1 Miles,North America,52,0
11087,M,,F,,69998.22505,3,2,0,0,0-1 Miles,North America,52,0
11088,M,,M,,79998.22505,2,1,1,0,2-5 Miles,North America,52,1
11089,S,,F,,79998.22505,2,1,1,1,2-5 Miles,North America,53,1
11090,S,,M,,89998.22505,2,0,1,1,2-5 Miles,North America,52,1
11091,M,,M,,89998.22505,2,0,1,1,5-10 Miles,North America,53,0
11092,M,,F,,89998.22505,2,2,1,0,1-2 Miles,Pacific,43,1
11093,M,,F,,99998.22505,0,0,1,0,0-1 Miles,Pacific,43,1
11094,S,,M,,69998.22505,1,0,0,1,0-1 Miles,Pacific,48,0
11095,S,,M,,69998.22505,1,0,1,1,5-10 Miles,Pacific,48,1
11096,M,,M,,59998.22505,1,0,1,1,5-10 Miles,Pacific,48,1
11097,M,,M,,59998.22505,1,0,1,1,5-10 Miles,Pacific,48,1
11098,S,,F,,59998.22505,1,0,0,1,0-1 Miles,Pacific,49,0
11099,M,,M,,59998.22505,1,0,1,1,0-1 Miles,Pacific,49,1
11100,S,,F,,59998.22505,1,0,1,1,5-10 Miles,Pacific,49,1
11101,S,,F,,69998.22505,0,0,0,1,0-1 Miles,Pacific,45,1
11102,S,,F,,79998.22505,5,5,1,4,1-2 Miles,Pacific,45,0
11103,S,,F,,69998.22505,0,0,1,1,5-10 Miles,Pacific,45,1
11104,M,,M,,69998.22505,0,0,0,1,0-1 Miles,Pacific,46,1
11105,S,,F,,69998.22505,0,0,0,1,5-10 Miles,Pacific,45,1
11106,S,,M,,69998.22505,0,0,0,1,5-10 Miles,Pacific,46,1
11107,M,,F,,89998.22505,1,0,1,1,5-10 Miles,Pacific,51,1
11108,S,,F,,69998.22505,0,0,0,2,0-1 Miles,Pacific,47,1
11109,S,,M,,69998.22505,0,0,0,2,0-1 Miles,Pacific,46,1
11110,M,,M,,59998.22505,1,0,1,1,5-10 Miles,Pacific,48,1
11111,M,,F,,59998.22505,1,0,1,1,0-1 Miles,Pacific,48,1
11112,M,,F,,59998.22505,1,0,1,1,0-1 Miles,Pacific,48,1
11113,M,,M,,69998.22505,5,4,1,2,5-10 Miles,Pacific,48,0
11114,S,,F,,69998.22505,5,4,1,2,5-10 Miles,Pacific,48,0
11115,M,,M,,69998.22505,5,4,1,2,0-1 Miles,Pacific,48,0
11116,M,,M,,69998.22505,5,4,1,2,5-10 Miles,Pacific,47,0
11117,M,,F,,69998.22505,5,4,1,3,10+ Miles,Pacific,49,1
11118,S,,M,,79998.22505,1,0,0,1,0-1 Miles,Pacific,53,0
11119,S,,M,,29998.22505,2,0,0,2,0-1 Miles,Pacific,75,0
11120,S,,F,,39998.22505,2,0,1,1,5-10 Miles,Pacific,74,1
11121,M,,M,,69998.22505,5,4,1,3,10+ Miles,Pacific,49,0
11122,M,,M,,69998.22505,5,4,1,3,5-10 Miles,Pacific,50,0
11123,M,,M,,69998.22505,5,4,1,3,10+ Miles,Pacific,50,0
11124,S,,M,,79998.22505,1,0,1,1,5-10 Miles,Pacific,53,1
11125,S,,F,,69998.22505,1,0,1,1,5-10 Miles,Pacific,54,0
11126,M,,M,,9998.225049,2,1,0,2,0-1 Miles,Pacific,61,1
11127,M,,F,,39998.22505,0,0,1,1,5-10 Miles,North America,34,0
11128,M,,F,,39998.22505,0,0,1,1,5-10 Miles,North America,34,0
11129,S,,F,,39998.22505,0,0,1,1,5-10 Miles,North America,35,1
11130,M,,F,,29998.22505,0,0,1,2,5-10 Miles,North America,30,0
11131,M,,F,,29998.22505,0,0,0,2,0-1 Miles,North America,30,0
11132,S,,F,,29998.22505,0,0,0,2,5-10 Miles,North America,29,1
11133,S,,F,,29998.22505,0,0,0,2,0-1 Miles,North America,30,0
11134,S,,M,,9998.225049,5,0,1,2,5-10 Miles,Pacific,64,1
11135,S,,M,,29998.22505,0,0,0,2,5-10 Miles,North America,30,1
11136,S,,F,,39998.22505,0,0,0,2,0-1 Miles,North America,31,1
11137,M,,F,,39998.22505,0,0,1,2,5-10 Miles,North America,32,0
11138,M,,F,,39998.22505,0,0,0,2,0-1 Miles,North America,31,0
11139,S,,F,,29998.22505,2,0,0,2,5-10 Miles,Pacific,71,0
11140,S,,M,,29998.22505,0,0,0,2,5-10 Miles,North America,33,0
11141,M,,F,,39998.22505,0,0,0,2,0-1 Miles,North America,33,0
11142,S,,M,,39998.22505,0,0,0,2,0-1 Miles,North America,33,0
11143,M,,M,,39998.22505,0,0,1,2,5-10 Miles,North America,33,0
11144,S,,M,,39998.22505,0,0,0,2,0-1 Miles,North America,31,1
11145,S,,F,,39998.22505,0,0,0,2,0-1 Miles,North America,30,1
11146,S,,F,,39998.22505,2,0,1,2,5-10 Miles,Pacific,71,0
11147,M,,M,,59998.22505,2,0,1,1,0-1 Miles,Pacific,71,1
11148,M,,M,,39998.22505,2,0,1,2,5-10 Miles,Pacific,69,0
11149,M,,M,,39998.22505,2,0,1,2,0-1 Miles,Pacific,69,0
11150,S,,M,,39998.22505,2,0,1,2,5-10 Miles,Pacific,69,0
11151,S,,F,,59998.22505,2,0,0,1,0-1 Miles,Pacific,68,1
11152,S,,M,,39998.22505,0,0,1,2,5-10 Miles,North America,34,1
11153,M,,F,,39998.22505,0,0,1,2,5-10 Miles,North America,34,0
11154,S,,F,,39998.22505,0,0,1,1,5-10 Miles,North America,34,1
11155,S,,M,,39998.22505,0,0,0,1,1-2 Miles,North America,34,1
11156,S,,F,,39998.22505,0,0,0,1,1-2 Miles,North America,34,1
11157,M,,F,,39998.22505,0,0,1,2,5-10 Miles,North America,35,0
11158,S,,M,,39998.22505,0,0,1,2,5-10 Miles,North America,34,1
11159,S,,F,,39998.22505,0,0,0,2,1-2 Miles,North America,34,0
11160,S,,M,,39998.22505,0,0,0,1,5-10 Miles,North America,36,1
11161,S,,F,,39998.22505,0,0,0,1,1-2 Miles,North America,36,0
11162,S,,M,,39998.22505,0,0,1,1,5-10 Miles,North America,36,1
11163,M,,M,,39998.22505,0,0,1,1,5-10 Miles,North America,35,0
11164,S,,M,,39998.22505,0,0,0,1,1-2 Miles,North America,36,0
11165,M,,F,,59998.22505,0,0,0,1,1-2 Miles,North America,37,0
11166,S,,F,,69998.22505,0,0,0,2,0-1 Miles,North America,38,0
11167,S,,F,,79998.22505,0,0,0,1,0-1 Miles,North America,38,1
11168,S,,M,,79998.22505,0,0,0,1,0-1 Miles,North America,42,1
11169,M,,M,,89998.22505,4,4,1,1,0-1 Miles,North America,42,0
